step,bce,L_struct_total,L_struct_scaled,hub_penalty,density_penalty,JS_soft,JS_mass,moment_mean,moment_std,deg_gen_mean,deg_gen_std,hub1pct_gen,auc,ap
10,1.0108250379562378,21.3835391998291,5.345884799957275,0.040798746049404144,5.313421206665225e-05,0.18616247177124023,0.22009627521038055,23.745155334472656,373.439208984375,16.63290023803711,0.8181415796279907,0.012223372235894203,0.8994271934019261,0.5382278450403032
11,1.009101152420044,21.395946502685547,5.348986625671387,0.04076329991221428,5.469306415761821e-05,0.18745122849941254,0.22056454420089722,24.442138671875,372.26361083984375,16.703899383544922,0.8485831022262573,0.012294260784983635,0.8994256508347859,0.5382240149819193
12,1.0059951543807983,21.394880294799805,5.348720073699951,0.04074201360344887,5.5424672609660774e-05,0.18803949654102325,0.22077178955078125,24.769268035888672,371.5745849609375,16.736873626708984,0.8664470911026001,0.012336833402514458,0.8994775839285072,0.5384832165179853
13,1.0138142108917236,21.381376266479492,5.345344066619873,0.04073240980505943,5.543528823181987e-05,0.18803220987319946,0.22075863182544708,24.77403450012207,371.2954406738281,16.73735237121582,0.8736890554428101,0.012356040067970753,0.8995413433703036,0.5383362701585994
14,1.0098861455917358,21.356664657592773,5.339166164398193,0.04073396325111389,5.4772488510934636e-05,0.18747001886367798,0.2205408215522766,24.477758407592773,371.4072265625,16.707500457763672,0.8707877397537231,0.012352933175861835,0.8995598541759864,0.5383957818777506
15,1.0075713396072388,21.325279235839844,5.331319808959961,0.04074370488524437,5.365534525481053e-05,0.18652480840682983,0.22018185257911682,23.97830581665039,371.80072021484375,16.65676498413086,0.8605816960334778,0.012333451770246029,0.8995639676883603,0.5381266791028213
16,0.9985784292221069,21.290876388549805,5.322719097137451,0.04075944051146507,5.225498534855433e-05,0.1853281855583191,0.21972960233688354,23.35221290588379,372.39300537109375,16.5924129486084,0.8452308773994446,0.012301982380449772,0.899643152801559,0.5381254506361041
17,0.9954696297645569,21.257110595703125,5.314277648925781,0.04077799618244171,5.0775986892404035e-05,0.18404528498649597,0.219245046377182,22.690988540649414,373.0702819824219,16.52350616455078,0.8276892304420471,0.012264869175851345,0.8996385251001383,0.5377386330485385
18,0.9993959069252014,21.2257022857666,5.30642557144165,0.04079744219779968,4.932950469083153e-05,0.1827695220708847,0.21876239776611328,22.044294357299805,373.7654724121094,16.455135345458984,0.8097026348114014,0.012225981801748276,0.899579650454286,0.5374310794137387
19,0.9966887831687927,21.197025299072266,5.299256324768066,0.04081714153289795,4.794530104845762e-05,0.18152812123298645,0.21829193830490112,21.42544937133789,374.4588317871094,16.388763427734375,0.7917788028717041,0.012186582200229168,0.8996020176778194,0.5370320007652232
20,0.995153546333313,21.171661376953125,5.292915344238281,0.0408351793885231,4.66966193926055e-05,0.18038946390151978,0.21785925328731537,20.867172241210938,375.09490966796875,16.328060150146484,0.7753502726554871,0.012150506488978863,0.8995894200461741,0.5370785100456972
21,0.9932268857955933,21.14957618713379,5.287394046783447,0.040850527584552765,4.562532922136597e-05,0.17939706146717072,0.21748067438602448,20.388216018676758,375.6344299316406,16.275331497192383,0.7614264488220215,0.012119805440306664,0.8995436572210139,0.5368076720526445
22,0.994310200214386,21.13042640686035,5.282606601715088,0.04086216166615486,4.4756565330317244e-05,0.17858026921749115,0.21716755628585815,19.999826431274414,376.0474548339844,16.23211669921875,0.750774085521698,0.012096541002392769,0.899552655529332,0.536529375650462
23,0.9922758936882019,21.113615036010742,5.2784037590026855,0.04086993262171745,4.4078999053454027e-05,0.177934467792511,0.21691828966140747,19.696941375732422,376.3322448730469,16.198123931884766,0.7434324622154236,0.012081000953912735,0.8995457139772008,0.536338985174976
